timestamp,window_id,direction,bet_amount,odds,beat_price,close_price,result,payout,pnl,running_pnl,remaining_secs,odds_spread,beat_distance,signal_mode,cl_edge,cvd_2min,liq_short_3s,liq_long_3s,hour_utc
2026-04-24 18:36:01,20260424-1035,UP,2.00,0.5250,77609.50,77618.50,WIN,3.81,+1.81,+1.81,240,0.0500,53.00,CHAINLINK,0.2374,38589,0,0,10
2026-04-24 18:41:01,20260424-1040,UP,2.00,0.5250,77618.50,77622.50,WIN,3.81,+1.81,+3.62,240,0.0500,14.00,CHAINLINK,0.4296,799789,0,0,10
2026-04-24 18:47:02,20260424-1045,UP,2.00,0.5250,77622.50,77648.50,WIN,3.81,+1.81,+5.43,179,0.0500,34.00,CHAINLINK,0.4546,374407,0,0,10
2026-04-24 18:51:58,20260424-1050,UP,2.00,0.5250,77648.50,77682.50,WIN,3.81,+1.81,+7.24,182,0.0500,13.00,CHAINLINK,0.3893,78164,0,0,10
2026-04-24 18:56:00,20260424-1055,UP,2.00,0.5250,77682.50,77728.50,WIN,3.81,+1.81,+9.05,240,0.0500,60.00,CHAINLINK,0.4285,1838449,0,0,10
2026-04-24 19:01:11,20260424-1100,UP,2.00,0.5250,77728.50,77929.50,WIN,3.81,+1.81,+10.86,230,0.0500,149.00,CHAINLINK,0.4738,7213412,0,0,11
2026-04-24 19:06:02,20260424-1105,UP,2.00,0.5250,77929.50,78083.50,WIN,3.81,+1.81,+12.67,240,0.0500,115.00,CHAINLINK,0.3565,42993040,0,0,11
2026-04-24 19:11:58,20260424-1110,UP,2.00,0.5250,78083.50,78186.50,WIN,3.81,+1.81,+14.48,182,0.0500,40.00,CHAINLINK,0.2203,-5177837,0,0,11
2026-04-24 19:43:10,20260424-1140,UP,2.00,0.5250,78256.50,78269.50,WIN,3.81,+1.81,+16.29,111,0.0500,26.00,CHAINLINK,0.4151,-263333,0,0,11
2026-04-24 20:46:02,20260424-1245,UP,2.00,0.5250,78153.50,78101.50,LOSS,0.00,-2.00,+14.29,239,0.0500,18.00,CHAINLINK,0.1261,-612502,0,0,12
2026-04-24 20:52:35,20260424-1250,UP,2.00,0.5250,78101.50,78005.50,LOSS,0.00,-2.00,+12.29,146,0.0500,60.00,CHAINLINK,0.1349,-873115,0,0,12
2026-04-24 20:56:21,20260424-1255,UP,2.00,0.5250,78005.50,78248.50,WIN,3.81,+1.81,+14.10,219,0.0500,40.00,CHAINLINK,0.3877,303039,0,0,12
2026-04-25 03:47:51,20260424-1945,UP,1.00,0.5250,77585.50,77540.50,LOSS,0.00,-1.00,+13.10,130,0.0500,14.00,CHAINLINK,0.1514,-184176,0,0,19
2026-04-25 03:51:01,20260424-1950,UP,1.00,0.5250,77540.50,77568.50,WIN,1.90,+0.90,+14.00,240,0.0500,2.00,CHAINLINK,0.4166,1379001,0,0,19
2026-04-25 04:07:11,20260424-2005,UP,2.00,0.5250,77536.50,77531.50,LOSS,0.00,-2.00,+12.00,173,0.0500,25.00,CHAINLINK,0.3850,-119305,0,0,20
2026-04-25 13:41:00,20260425-0540,UP,2.00,0.5250,77499.50,77484.50,LOSS,0.00,-2.00,+10.00,240,0.0500,11.00,CHAINLINK,0.4651,174774,0,0,5
2026-04-25 13:47:22,20260425-0545,UP,2.00,0.5250,77484.50,77491.50,WIN,3.81,+1.81,+11.81,158,0.0500,23.00,CHAINLINK,0.4748,116157,0,0,5
2026-04-25 13:53:35,20260425-0550,UP,2.00,0.5250,77491.50,77474.50,LOSS,0.00,-2.00,+9.81,84,0.0500,0.00,CHAINLINK,0.4747,-18443,0,0,5
2026-04-25 13:58:00,20260425-0555,UP,2.00,0.5250,77474.50,77474.50,LOSS,0.00,-2.00,+7.81,119,0.0500,0.00,CHAINLINK,0.4723,-69315,0,0,5
2026-04-25 14:06:00,20260425-0605,UP,2.00,0.5250,77485.50,77579.31,WIN,3.81,+1.81,+9.62,240,0.0500,0.00,CHAINLINK,0.1620,63306,0,0,6
2026-04-25 14:12:29,20260425-0610,UP,2.00,0.5250,77523.50,77569.93,WIN,3.81,+1.81,+11.43,150,0.0500,4.00,CHAINLINK,0.4578,-16475,0,0,6
2026-04-25 14:16:00,20260425-0615,UP,2.00,0.5250,77510.50,77561.68,WIN,3.81,+1.81,+13.24,240,0.0500,0.00,CHAINLINK,0.4474,100640,0,0,6
2026-04-25 14:26:00,20260425-0625,UP,2.00,0.5250,77451.50,77522.79,WIN,3.81,+1.81,+15.05,240,0.0500,0.00,CHAINLINK,0.1341,-132846,0,0,6
2026-04-25 14:31:00,20260425-0630,UP,2.00,0.5250,77445.50,77546.54,WIN,3.81,+1.81,+16.86,240,0.0500,31.00,CHAINLINK,0.4668,59910,0,0,6
2026-04-25 14:37:41,20260425-0635,UP,2.00,0.5250,77494.50,77562.13,WIN,3.81,+1.81,+18.67,138,0.0500,2.00,CHAINLINK,0.4679,25816,0,0,6
2026-04-25 14:41:00,20260425-0640,UP,2.00,0.5250,77511.50,77575.27,WIN,3.81,+1.81,+20.48,240,0.0500,5.00,CHAINLINK,0.4487,-25357,0,0,6
2026-04-25 14:47:56,20260425-0645,UP,2.00,0.5250,77493.50,77562.36,WIN,3.81,+1.81,+22.29,123,0.0500,1.00,CHAINLINK,0.4713,2559,0,0,6
2026-04-25 14:51:00,20260425-0650,UP,2.00,0.5250,77492.50,77592.51,WIN,3.81,+1.81,+24.10,240,0.0500,7.00,CHAINLINK,0.4674,869311,0,0,6
2026-04-25 16:01:12,20260425-0800,UP,1.00,0.5250,77467.50,77551.09,WIN,1.90,+0.90,+25.00,229,0.0500,1.00,CHAINLINK,0.4243,-2215328,0,0,8
2026-04-25 17:11:02,20260425-0910,UP,1.00,0.5250,77593.50,77657.24,WIN,1.90,+0.90,+25.90,240,0.0500,0.00,CHAINLINK,0.4324,67299,0,0,9
2026-04-25 17:17:03,20260425-0915,UP,1.00,0.5250,77599.50,77644.58,WIN,1.90,+0.90,+26.81,178,0.0500,3.00,CHAINLINK,0.4478,-23397,0,0,9
2026-04-25 17:27:56,20260425-0925,UP,1.00,0.5250,77578.50,77614.09,WIN,1.90,+0.90,+27.71,126,0.0500,21.00,CHAINLINK,0.4746,-58598,0,0,9
2026-04-25 17:46:02,20260425-0945,UP,1.00,0.5250,77709.50,77760.88,WIN,1.90,+0.90,+28.61,240,0.0500,0.00,CHAINLINK,0.3101,268977,0,0,9
2026-04-25 18:11:01,20260425-1010,UP,1.00,0.5250,77734.50,77797.72,WIN,1.90,+0.90,+29.52,240,0.0500,10.00,CHAINLINK,0.4295,113272,0,0,10
2026-04-25 18:18:13,20260425-1015,UP,1.00,0.5250,77738.50,77807.75,WIN,1.90,+0.90,+30.42,107,0.0500,18.00,CHAINLINK,0.4746,276811,0,0,10
2026-04-25 18:22:22,20260425-1020,UP,1.00,0.5250,77738.50,77861.98,WIN,1.90,+0.90,+31.33,159,0.0500,19.00,CHAINLINK,0.4695,17258,0,0,10
2026-04-25 18:31:02,20260425-1030,UP,1.00,0.5250,77799.50,77860.39,WIN,1.90,+0.90,+32.23,239,0.0500,8.00,CHAINLINK,0.4257,313328,0,0,10
2026-04-25 18:46:01,20260425-1045,UP,1.00,0.5250,77780.50,77810.99,WIN,1.90,+0.90,+33.14,240,0.0500,13.00,CHAINLINK,0.4655,84393,0,0,10
2026-04-25 18:58:10,20260425-1055,UP,1.00,0.5250,77770.50,77793.12,WIN,1.90,+0.90,+34.04,114,0.0500,0.00,CHAINLINK,0.4712,-29736,0,0,10
2026-04-25 19:06:03,20260425-1105,UP,1.00,0.5250,77742.50,77770.69,WIN,1.90,+0.90,+34.95,240,0.0500,21.00,CHAINLINK,0.4343,-2984780,0,0,11
2026-04-25 19:16:11,20260425-1115,UP,1.00,0.5250,77707.50,77742.51,WIN,1.90,+0.90,+35.85,232,0.0500,12.00,CHAINLINK,0.4549,74301,0,0,11
2026-04-25 19:26:47,20260425-1125,UP,1.00,0.5250,77646.50,77701.92,WIN,1.90,+0.90,+36.76,195,0.0500,0.00,CHAINLINK,0.4415,-81649,0,0,11
2026-04-25 22:41:42,20260425-1440,UP,1.00,0.5250,77716.50,77759.06,WIN,1.90,+0.90,+37.66,199,0.0500,2.00,CHAINLINK,0.1200,722864,0,0,14,CHAINLINK_CALC
2026-04-25 23:06:02,20260425-1505,UP,1.00,0.5250,77630.50,77678.27,WIN,1.90,+0.90,+38.57,240,0.0500,8.00,CHAINLINK,0.1503,382233,0,0,15,CHAINLINK_CALC
2026-04-26 00:33:01,20260425-1630,DOWN,1.00,0.4750,77443.53,77445.06,LOSS,0.00,-1.00,+37.57,120,0.0500,86.03,CHAINLINK,0.1114,80879,0,0,16,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 00:48:02,20260425-1645,DOWN,2.00,0.4750,77403.54,77420.71,LOSS,0.00,-2.00,+35.57,118,0.0500,85.04,CHAINLINK,0.1106,1091349,0,0,16,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 01:02:23,20260425-1700,DOWN,2.00,0.4750,77426.62,77398.15,WIN,4.21,+2.21,+37.78,157,0.0500,86.12,CHAINLINK,0.1257,-130087,0,0,17,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 01:08:00,20260425-1705,DOWN,2.00,0.4750,77406.05,77385.46,WIN,4.21,+2.21,+39.99,120,0.0500,70.55,CHAINLINK,0.1048,45458,0,0,17,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 01:16:20,20260425-1715,DOWN,2.00,0.4750,77384.70,77346.21,WIN,4.21,+2.21,+42.20,219,0.0500,88.20,CHAINLINK,0.1225,-363438,0,0,17,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 01:22:35,20260425-1720,UP,2.00,0.5250,77353.29,77412.98,WIN,3.81,+1.81,+44.01,145,0.0500,16.79,CHAINLINK,0.1396,595064,0,0,17,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 01:33:02,20260425-1730,DOWN,2.00,0.4750,77350.01,77315.49,WIN,4.21,+2.21,+46.22,117,0.0500,106.51,CHAINLINK,0.2150,-451128,0,0,17,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 01:37:28,20260425-1735,UP,2.00,0.5250,77303.13,77357.65,WIN,3.81,+1.81,+48.03,152,0.0500,16.63,CHAINLINK,0.1381,-143512,0,0,17,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 01:43:31,20260425-1740,DOWN,2.00,0.4750,77357.90,77326.68,WIN,4.21,+2.21,+50.24,89,0.0500,72.40,CHAINLINK,0.1000,-121724,0,0,17,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 01:51:14,20260425-1750,DOWN,2.00,0.4750,77303.23,77276.59,WIN,4.21,+2.21,+52.45,226,0.0500,108.73,CHAINLINK,0.1684,-2609322,0,0,17,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 02:32:01,20260425-1830,UP,2.00,0.5250,77328.77,77390.74,WIN,3.81,+1.81,+54.26,179,0.0500,25.30,CHAINLINK,0.1760,553101,0,0,18,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 02:43:17,20260425-1840,DOWN,2.00,0.4750,77371.33,77376.38,LOSS,0.00,-2.00,+52.26,102,0.0500,15.31,CHAINLINK,0.1001,-51145,0,0,18,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 02:51:25,20260425-1850,DOWN,2.00,0.4750,77372.00,77325.78,WIN,4.21,+2.21,+54.47,214,0.0500,30.44,CHAINLINK,0.1349,-202274,0,0,18,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 03:03:22,20260425-1900,DOWN,2.00,0.4750,77351.58,77300.00,WIN,4.21,+2.21,+56.68,98,0.0500,18.46,CHAINLINK,0.1466,34033,0,0,19,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 03:07:40,20260425-1905,DOWN,2.00,0.4750,77329.56,77318.09,WIN,4.21,+2.21,+58.89,139,0.0500,22.66,CHAINLINK,0.1200,-132882,0,0,19,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 03:46:34,20260425-1945,DOWN,1.00,0.4750,77245.98,77257.84,LOSS,0.00,-1.00,+57.89,207,0.0500,24.72,CHAINLINK,0.1256,-135352,0,0,19,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 06:58:15,20260425-2255,UP,1.00,0.5250,77551.86,77562.76,WIN,1.90,+0.90,+58.79,106,0.0500,26.38,CHAINLINK,0.1004,-697575,0,0,22,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 07:23:01,20260425-2320,DOWN,1.00,0.4750,77611.55,77600.09,WIN,2.11,+1.11,+59.90,120,0.0500,17.66,CHAINLINK,0.1048,9458,0,0,23,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 07:37:37,20260425-2335,UP,1.00,0.5250,77598.65,77660.96,WIN,1.90,+0.90,+60.80,144,0.0500,35.75,CHAINLINK,0.1301,-11810,0,0,23,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 07:43:40,20260425-2340,UP,1.00,0.5250,77640.98,77627.90,LOSS,0.00,-1.00,+59.80,81,0.0500,23.06,CHAINLINK,0.1002,-3273624,0,0,23,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 09:08:57,20260426-0105,UP,1.00,0.5250,77515.26,77536.31,WIN,1.90,+0.90,+60.71,64,0.0500,20.41,CHAINLINK,0.1003,46199,0,0,1,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 09:21:09,20260426-0120,DOWN,1.00,0.4750,77548.92,77560.33,LOSS,0.00,-1.00,+59.71,232,0.0500,29.32,CHAINLINK,0.1200,146561,0,0,1,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 09:33:31,20260426-0130,DOWN,1.00,0.4750,77542.61,77551.89,LOSS,0.00,-1.00,+58.71,90,0.0500,14.37,CHAINLINK,0.1000,-1159406,0,0,1,CHAINLINK_CALC,CHAINLINK,True
2026-04-26 11:14:31,20260426-0310,UP,1.00,0.5250,77503.00,77538.05,WIN,1.90,+0.90,+59.61,30,0.0000,34.71,LATE,0.0000,0,0,0,3,CHAINLINK_CALC,POLYMARKET_API,True
2026-04-26 11:19:31,20260426-0315,UP,1.00,0.5250,77538.05,77549.32,WIN,1.90,+0.90,+60.52,30,0.0000,25.15,LATE,0.0000,0,0,0,3,CHAINLINK_CALC,POLYMARKET_API,True
2026-04-27 11:44:30,20260427-0340,UP,2.00,0.5350,79221.09,79246.99,WIN,3.74,+1.74,+62.26,30,0.0000,33.03,LATE,0.0000,0,0,0,3,CHAINLINK_CALC,POLYMARKET_API,True
2026-04-27 11:54:31,20260427-0350,DOWN,2.00,0.4650,79229.45,79171.54,WIN,4.30,+2.30,+64.56,30,0.0000,52.12,LATE,0.0000,0,0,0,3,CHAINLINK_CALC,POLYMARKET_API,True
2026-04-27 12:19:38,20260427-0415,DOWN,2.00,0.4650,79067.12,79055.89,WIN,4.30,+2.30,+66.86,22,0.0000,26.30,LATE,0.0000,0,0,0,4,CHAINLINK_CALC,POLYMARKET_API,True
